parkinglot_id,parkinglot_name,latitude,longitude,parkinglot_div,parkinglot_type,parkinglot_num,parkinglot_cost,parkinglot_add,parkinglot_time
19684,부곡동 공영주차장,37.31814848,126.9499266,민영,노외,57,유료,경기도 의왕시 삼동 160-27,"일요일,공휴일 휴무"
19685,홍은1동 제3공영주차장,37.60579784,126.9498576,공영,노외,9,유료,서울특별시 서대문구 홍은1동 8-1262,연중 무휴
19686,중앙시장 주차장,35.942468,126.949659,공영,노상,69,무료,전라북도 익산시 창인동 1가 103-14,연중 무휴
19687,홍은1동 제1공영주차장,37.59867988,126.9495408,공영,노외,72,유료,서울특별시 서대문구 홍은1동 9-164,연중 무휴
19688,홍은1동 제4공영주차장,37.60152686,126.949181,공영,노외,105,유료,서울특별시 서대문구 홍은1동 11-23,연중 무휴
19689,의왕공영주차장,37.32222974,126.9491227,공영,노외,57,유료,경기도 의왕시 삼동 460-83,연중 무휴
19690,모현공영주차장,35.954862,126.94906,공영,노상,36,무료,전라북도 익산시 모현동 1가 13-210,연중 무휴
19691,국민관광지(노외),37.73009844,126.9490561,공영,노외,346,유료,경기도 양주시 장흥면 석현리 392-3,연중 무휴
19692,당정5공영주차장,37.341265,126.94883,공영,노외,24,무료,경기도 군포시 당정동 1018-3,연중 무휴
19693,이면도로 주차장,37.32195024,126.948728,공영,노상,42,무료,경기도 의왕시 부곡동 471-2~192-170,연중 무휴
19694,농심로 노상주차장,37.361912,126.94864,공영,노상,46,무료,,연중 무휴
19695,번영공영주차장,37.366325,126.94856,공영,노외,31,무료,경기도 군포시 금정동 783,연중 무휴
19696,당정역광장공영주차장,37.342641,126.948341,공영,노외,43,유료,경기도 군포시 당동 881-1,연중 무휴
19697,인화동 남부지구 주차장,35.931433,126.948277,공영,노상,300,무료,전라북도 익산시 인화동1가 176,연중 무휴
19698,군포역환승공영주차장,37.350818,126.948223,공영,노외,75,유료,경기도 군포시 당동 261-7,연중 무휴
19699,홍제3동 제1공영주차장,37.59507893,126.9481889,공영,노외,27,유료,서울특별시 서대문구 홍제3동 278-41,연중 무휴
19700,청명1길공영주차장,37.349642,126.948009,공영,노외,50,유료,경기도 군포시 당동 925,연중 무휴
19701,공단로노상주차장,37.360788,126.94774,공영,노상,94,무료,,연중 무휴
19702,홍제2동 제1공영주차장,37.58834649,126.9476637,공영,노외,17,유료,서울특별시 서대문구 홍제2동 192-14,연중 무휴
19703,금정제일공영주차장,37.360572,126.947228,공영,노외,115,유료,경기도 군포시 금정동 755,연중 무휴
19704,창인동 6통마을 주차장,35.941912,126.946899,공영,노외,8,무료,전라북도 익산시 창인동1가 6-9,연중 무휴
19705,당동공영주차장,37.352699,126.946716,공영,노외,29,유료,경기도 군포시 당동 778-25,연중 무휴
19706,보삼마을 주차장,36.001515,126.94645,공영,노외,7,무료,전라북도 익산시 황등면 황등리 355-4,연중 무휴
19707,관악산노상공영,37.46905,126.946243,공영,노상,186,유료,서울특별시 관악구 신림동 138-22 일대,연중 무휴
